xtf_id,DamName,DamHeight,CrestLevel,CrestLength,DamType,ConstructionYear,facilityR2,x,y
130676951,Murgsee Süd,3.000,1820.450,20.000,dt5,1925,130676248,2730550.744,1211089.733
130676952,Murgsee Süddamm,2.000,1820.440,25.000,dt7,1925,130676248,2730540.745,1211069.734
130676953,Muslen,29.000,608.200,55.000,dt5,1908,130676251,2728650.788,1222399.786
130676828,Muttsee,37.000,2476.000,1025.000,dt5,2015,130676548,2721110.684,1191509.603
130676839,Nagens,13.500,1953.500,562.000,dt7,2006,130676539,2737160.669,1191109.713
130676954,Nalps,127.000,1909.700,480.000,dt8,1962,130676254,2701300.4,1166139.638
130676955,Naret I,80.000,2311.000,435.000,dt8,1969,130676257,2687070.137,1148379.595
130676956,Naret II,45.000,2311.000,260.000,dt5,1969,130676257,2687270.132,1148099.59
131994439,Niederried,15.000,462.500,80.000,dt1,1963,131994425,2584975.092,1205815.275
130676957,Oberaar,104.000,2304.600,526.000,dt5,1953,130676260,2663960.166,1155519.73
130676958,Oberems,11.000,1370.000,176.000,dt4,1927,130676263,2619359.62,1125719.966
130676961,Obermatt,16.000,661.500,370.000,dt7,1962,130676272,2671100.635,1188609.729
130676962,Orden,42.000,1788.250,171.000,dt8,1971,130676275,2773391.048,1140349.534
130676963,Othmarhang,13.800,2674.000,148.000,dt7,2000,130676278,2636549.396,1103129.588
130676964,Ova Spin,73.000,1633.500,130.000,dt8,1968,130676281,2806990.976,1173229.977
131910344,Ovella,26.000,1032.000,26.000,dt1,2022,131910341,2831510.958,1199930.349
130676965,Palagnedra,72.000,486.700,114.000,dt6,1952,130676284,2692019.87,1112749.112
130676966,Pallazuit,17.000,1329.000,500.000,dt7,1958,130676287,2580619.194,1092340.083
130676967,Palü I,13.000,1923.960,67.000,dt5,1928,130676290,2799081.341,1138899.759
130676968,Palü II,12.000,1924.000,42.000,dt5,1928,130676290,2798951.345,1138859.754
130676970,Peccia,12.000,1033.000,250.000,dt7,1954,130676293,2690060.084,1140949.551
130676971,Pfaffensprung,32.140,806.740,64.100,dt8,1921,130676296,2689620.475,1174399.647
130676973,Pigniu (Panix),53.000,1452.000,270.000,dt5,1989,130676302,2727510.613,1187369.604
