xtf_id,DamName,DamHeight,CrestLevel,CrestLength,DamType,ConstructionYear,facilityR2,geometry
130676901.0,Hongrin Sud,95.0,1257.0,272.0,dt8,1969.0,130676104.0,POINT (2569439.58 1141430.304)
130677001.0,Hühnermatt (Sihlsee),15.0,892.43,155.0,dt7,1937.0,130676386.0,POINT (2700060.762 1221929.873)
130676904.0,Illgraben,49.5,1041.5,64.5,dt5,1969.0,130676113.0,POINT (2613939.585 1125800.03)
130676905.0,Illsee,25.0,2361.32,270.0,dt5,1927.0,130676116.0,POINT (2614969.486 1123089.946)
130677002.0,In den Schlagen (Sihlsee),33.5,891.74,127.2,dt5,1936.0,130676386.0,POINT (2701700.784 1223479.867)
130676906.0,Innerferrera,28.0,1446.0,61.0,dt5,1961.0,130676119.0,POINT (2753300.703 1154779.523)
130676909.0,Isola,45.0,1605.0,290.0,dt6,1960.0,130676128.0,POINT (2734490.72 1145319.495)
130676969.0,Jonenbach,19.35,516.35,163.0,dt7,2006.0,130676530.0,POINT (2677230.813 1236339.849)
130676910.0,Käppelistutz,16.54,797.8,44.7,dt5,1945.0,130676131.0,POINT (2673830.721 1194069.772)
132025269.0,Klingnau,15.0,320.0,133.5,dt1,1935.0,132025257.0,POINT (2659120.058 1271803.17)
130676912.0,La Fouly,18.0,1576.0,58.0,dt5,1972.0,130676137.0,POINT (2573449.033 1087250.291)
130676918.0,Lago Bianco Nord,12.9,2235.75,290.0,dt5,1911.0,130676155.0,POINT (2797601.258 1143599.747)
130676919.0,Lago Bianco Süd,26.0,2237.0,190.0,dt5,1911.0,130676155.0,POINT (2799301.305 1141199.774)
131887044.0,Laufenburg,32.0,308.64,103.2,dt1,1914.0,130676572.0,POINT (2645900.797 1267500.307)
130676924.0,Le Pontet,21.0,794.05,34.0,dt5,1970.0,130676170.0,POINT (2520099.65 1175580.69)
130676925.0,Les Clées,27.2,744.5,100.0,dt5,1955.0,130676173.0,POINT (2520749.638 1175120.697)
130676926.0,Les Esserts,20.0,1517.0,310.0,dt7,1973.0,130676176.0,POINT (2562809.201 1099860.412)
130676927.0,Les Marécottes,12.0,1103.7,225.0,dt4,1925.0,130676179.0,POINT (2566529.269 1106480.309)
130676928.0,Les Toules,86.0,1811.0,460.0,dt8,1963.0,130676182.0,POINT (2581539.06 1086090.122)
130676929.0,Lessoc,32.4,776.9,90.0,dt2,1973.0,130676185.0,POINT (2570429.655 1150610.168)
130676930.0,Limmern,146.0,1858.7,370.0,dt8,1963.0,130676188.0,POINT (2719750.645 1189489.641)
130676931.0,Linthal,12.0,677.0,550.0,dt7,1964.0,130676191.0,POINT (2718220.66 1197449.632)
130676933.0,Löbbia,26.0,1421.0,90.0,dt5,1959.0,130676197.0,POINT (2770751.042 1138339.576)
130676936.0,Lucendro,73.0,2135.25,269.0,dt2,1947.0,130676206.0,POINT (2685190.302 1157509.666)
