abbr,time,rre150m0
BAS,193207,121.3
BAS,193208,30.2
BAS,193209,94.5
BAS,193210,73.8
BAS,193211,10.1
BAS,193212,17.1
BAS,193301,22.5
BAS,193302,34.4
BAS,193303,58.8
BAS,193304,42.6
BAS,193305,109.4
BAS,193306,102.0
BAS,193307,55.2
BAS,193308,25.7
BAS,193309,90.0
BAS,193310,76.9
BAS,193311,62.4
BAS,193312,5.0
BAS,193401,50.0
BAS,193402,13.3
BAS,193403,55.4
BAS,193404,16.0
BAS,193405,11.8
BAS,193406,135.9
BAS,193407,74.4
BAS,193408,101.6
BAS,193409,48.1
BAS,193410,65.5
BAS,193411,50.4
BAS,193412,38.9
BAS,193501,41.8
BAS,193502,76.3
BAS,193503,31.9
BAS,193504,92.9
BAS,193505,125.7
BAS,193506,59.6
BAS,193507,26.4
BAS,193508,82.2
BAS,193509,80.5
BAS,193510,115.1
BAS,193511,36.5
BAS,193512,119.7
BAS,193601,94.3
BAS,193602,60.0
BAS,193603,24.7
BAS,193604,90.3
BAS,193605,17.0
BAS,193606,104.3
BAS,193607,140.8
BAS,193608,86.8
BAS,193609,124.7
BAS,193610,30.3
BAS,193611,71.5
BAS,193612,25.1
BAS,193701,62.7
BAS,193702,77.6
BAS,193703,137.1
BAS,193704,91.1
BAS,193705,63.1
BAS,193706,66.0
BAS,193707,29.0
BAS,193708,59.7
BAS,193709,96.2
BAS,193710,33.7
BAS,193711,56.3
BAS,193712,31.0
BAS,193801,74.3
BAS,193802,23.8
BAS,193803,17.7
BAS,193804,13.7
BAS,193805,87.6
BAS,193806,152.9
BAS,193807,197.0
BAS,193808,152.9
BAS,193809,66.3
BAS,193810,56.5
BAS,193811,18.5
BAS,193812,50.2
BAS,193901,49.8
BAS,193902,24.6
BAS,193903,97.5
BAS,193904,99.4
BAS,193905,181.7
BAS,193906,117.0
BAS,193907,135.4
BAS,193908,111.9
BAS,193909,67.4
BAS,193910,215.2
BAS,193911,63.6
BAS,193912,41.1
BAS,194001,29.0
BAS,194002,25.6
BAS,194003,49.8
BAS,194004,50.9
BAS,194005,41.8
BAS,194006,115.8
BAS,194007,115.2
BAS,194008,67.9
BAS,194009,207.5
BAS,194010,82.5
BAS,194011,106.9
BAS,194012,66.5
BAS,194101,77.7
BAS,194102,48.8
BAS,194103,53.1
BAS,194104,55.7
BAS,194105,109.3
BAS,194106,90.8
BAS,194107,53.8
BAS,194108,83.3
BAS,194109,12.5
BAS,194110,48.0
BAS,194111,38.8
BAS,194112,18.9
BAS,194201,62.5
BAS,194202,15.2
BAS,194203,40.4
BAS,194204,32.5
BAS,194205,121.9
BAS,194206,69.4
BAS,194207,83.5
BAS,194208,76.6
BAS,194209,143.9
BAS,194210,60.1
BAS,194211,34.6
BAS,194212,21.1
BAS,194301,51.9
BAS,194302,35.7
BAS,194303,24.5
BAS,194304,33.6
BAS,194305,64.0
BAS,194306,62.9
BAS,194307,54.7
BAS,194308,42.9
BAS,194309,113.9
BAS,194310,3.2
BAS,194311,60.5
BAS,194312,24.2
BAS,194401,39.7
BAS,194402,63.3
BAS,194403,27.1
BAS,194404,29.9
BAS,194405,39.5
BAS,194406,73.9
BAS,194407,98.2
BAS,194408,124.3
BAS,194409,92.0
BAS,194410,68.7
BAS,194411,136.1
BAS,194412,37.7
BAS,194501,55.9
BAS,194502,31.4
BAS,194503,37.0
BAS,194504,40.0
BAS,194505,70.8
BAS,194506,71.1
BAS,194507,40.0
BAS,194508,111.3
BAS,194509,77.0
BAS,194510,22.6
BAS,194511,30.2
BAS,194512,57.3
BAS,194601,27.8
BAS,194602,53.1
BAS,194603,27.7
BAS,194604,28.9
BAS,194605,65.7
BAS,194606,212.5
BAS,194607,39.6
BAS,194608,116.2
BAS,194609,77.5
BAS,194610,35.0
BAS,194611,34.1
BAS,194612,34.3
BAS,194701,37.6
BAS,194702,37.8
BAS,194703,91.2
BAS,194704,17.1
BAS,194705,31.1
BAS,194706,44.1
BAS,194707,28.2
BAS,194708,21.2
BAS,194709,26.6
BAS,194710,49.3
BAS,194711,60.5
BAS,194712,69.0
BAS,194801,106.2
BAS,194802,28.0
BAS,194803,5.4
BAS,194804,43.5
BAS,194805,78.8
BAS,194806,120.8
BAS,194807,132.5
BAS,194808,93.8
BAS,194809,66.8
BAS,194810,50.2
BAS,194811,48.0
BAS,194812,11.9
BAS,194901,68.0
BAS,194902,11.5
BAS,194903,33.1
BAS,194904,108.1
BAS,194905,101.1
BAS,194906,22.6
BAS,194907,7.8
BAS,194908,42.0
BAS,194909,57.6
BAS,194910,21.2
BAS,194911,53.4
BAS,194912,42.2
BAS,195001,33.8
BAS,195002,55.4
BAS,195003,8.5
BAS,195004,83.5
BAS,195005,105.9
BAS,195006,44.0
BAS,195007,83.9
BAS,195008,148.3
BAS,195009,93.8
BAS,195010,27.1
BAS,195011,220.2
BAS,195012,36.4
BAS,195101,34.0
BAS,195102,57.0
BAS,195103,70.4
BAS,195104,64.1
BAS,195105,85.7
BAS,195106,75.6
BAS,195107,205.4
BAS,195108,110.8
BAS,195109,65.2
BAS,195110,57.8
BAS,195111,85.3
BAS,195112,39.1
BAS,195201,46.4
BAS,195202,48.6
BAS,195203,97.1
BAS,195204,109.7
BAS,195205,47.5
BAS,195206,60.5
BAS,195207,26.2
BAS,195208,78.3
BAS,195209,86.7
BAS,195210,117.0
BAS,195211,105.6
BAS,195212,97.2
BAS,195301,17.8
BAS,195302,13.9
BAS,195303,6.7
BAS,195304,36.7
BAS,195305,28.8
BAS,195306,137.0
BAS,195307,89.7
BAS,195308,21.4
BAS,195309,92.7
BAS,195310,24.6
BAS,195311,12.8
BAS,195312,16.8
BAS,195401,46.0
BAS,195402,38.2
BAS,195403,24.2
BAS,195404,64.8
BAS,195405,67.6
BAS,195406,77.2
BAS,195407,59.5
BAS,195408,203.6
BAS,195409,115.3
BAS,195410,39.2
BAS,195411,60.6
BAS,195412,80.2
BAS,195501,87.6
BAS,195502,74.1
BAS,195503,47.2
BAS,195504,18.2
BAS,195505,79.8
BAS,195506,120.5
BAS,195507,115.2
BAS,195508,174.7
BAS,195509,56.6
BAS,195510,24.9
BAS,195511,11.8
BAS,195512,81.5
BAS,195601,48.9
BAS,195602,14.2
BAS,195603,7.5
BAS,195604,85.0
BAS,195605,101.5
BAS,195606,59.1
BAS,195607,210.5
BAS,195608,149.2
BAS,195609,50.5
BAS,195610,79.3
BAS,195611,25.0
BAS,195612,18.7
BAS,195701,16.9
BAS,195702,70.4
BAS,195703,32.6
BAS,195704,23.6
BAS,195705,38.9
BAS,195706,133.8
BAS,195707,98.3
BAS,195708,89.0
BAS,195709,74.4
BAS,195710,33.6
BAS,195711,41.7
BAS,195712,49.4
BAS,195801,55.7
BAS,195802,76.1
BAS,195803,26.8
BAS,195804,45.6
BAS,195805,83.9
BAS,195806,89.0
BAS,195807,62.3
BAS,195808,112.0
BAS,195809,45.9
BAS,195810,63.6
BAS,195811,44.0
BAS,195812,69.8
BAS,195901,80.5
BAS,195902,5.5
BAS,195903,90.1
BAS,195904,116.2
BAS,195905,25.3
BAS,195906,115.2
BAS,195907,17.5
BAS,195908,68.7
BAS,195909,6.4
BAS,195910,89.3
BAS,195911,35.3
BAS,195912,52.6
BAS,196001,46.3
BAS,196002,49.4
BAS,196003,49.8
BAS,196004,30.8
BAS,196005,67.9
BAS,196006,74.8
BAS,196007,73.9
BAS,196008,149.6
BAS,196009,73.7
BAS,196010,79.7
BAS,196011,63.8
BAS,196012,37.1
BAS,196101,62.0
BAS,196102,44.6
BAS,196103,8.8
BAS,196104,97.6
BAS,196105,81.0
BAS,196106,72.2
BAS,196107,88.7
BAS,196108,85.2
BAS,196109,34.2
BAS,196110,69.2
BAS,196111,29.6
BAS,196112,59.1
BAS,196201,79.8
